
--- Sheet: Catalogo ---
               Categoría  Valor                                                                                        Descripcion    Estado  Texto Ayuda 
                RELACION      0                                                                                           No lo sé  Inactivo           NaN
                RELACION      1                                                                               Cónyuge o compañero     Activo           NaN
                RELACION      2                                                                           Excónyuge o excompañero     Activo           NaN
                RELACION      3                                                                                       Padre/madre     Activo           NaN
                RELACION      4                                                                                         Hijo/hija     Activo           NaN
                RELACION      5                                                            Hijo/hija del otro miembro de la pareja    Activo           NaN
                RELACION      6                                                                                    Hernano/Hermana  Inactivo           NaN
                RELACION      7                                                                                           Pariente  Inactivo           NaN
                RELACION      8                                                                                        Novio/Novia  Inactivo           NaN
                RELACION      9                                                                                   Familia política  Inactivo           NaN
                RELACION     10                                                                           Amigo, vecino, compañero    Activo           NaN
                RELACION     11                                                        Miembros de Organismos, Instituciones, etc.  Inactivo           NaN
                RELACION     12                                                                                            Ninguna  Inactivo           NaN
                RELACION     13                                                                                   Otros familiares    Activo           NaN
TERCERO_ACTITUD_PROBLEMA      0                                                                                           No lo sé  Inactivo           NaN
TERCERO_ACTITUD_PROBLEMA      1                                                                             No lo sabe el llamante  Inactivo           NaN
TERCERO_ACTITUD_PROBLEMA      2                                                           El llamante no se atreve a proponerselo     Activo           NaN
TERCERO_ACTITUD_PROBLEMA      3                                                      El tercero, niega la existencia del problema     Activo           NaN
TERCERO_ACTITUD_PROBLEMA      4                           El tercero, piensa que el llamante es el responsable total del problema     Activo           NaN
TERCERO_ACTITUD_PROBLEMA      5                            No se muestran deseos de querer colaborar con la solución del problema     Activo           NaN
TERCERO_ACTITUD_PROBLEMA      6                         El tercero reconoce que él colabora, al menos parcialmente en el problema     Activo           NaN
TERCERO_ACTITUD_PROBLEMA      7                                                                         Desea resolver el problema    Activo           NaN
CONDICION_SOCIOECONOMICA      1                                                                                     Recursos Bajos    Activo           NaN
CONDICION_SOCIOECONOMICA      2                                                                                    Recursos Medios    Activo           NaN
CONDICION_SOCIOECONOMICA      3                                                                                     Recursos Altos    Activo           NaN
             COMO_CONOCE      1                                                                                           Internet    Activo           NaN
             COMO_CONOCE      2                                                                                                 TV    Activo           NaN
             COMO_CONOCE      3                                                                                              Radio    Activo           NaN
             COMO_CONOCE      4                                                                                             Prensa    Activo           NaN
             COMO_CONOCE      5                                                                                          Parroquia    Activo           NaN
             COMO_CONOCE      6                                                                                         Voluntario    Activo           NaN
             COMO_CONOCE      7                                                                                           Familiar    Activo           NaN
             COMO_CONOCE      8                                                                                              Amigo    Activo           NaN
             COMO_CONOCE      9                                                                                     Redes Sociales    Activo           NaN
             COMO_CONOCE     10                                                                                                 IA    Activo           NaN
             COMO_CONOCE     11                                                                                               Otra    Activo           NaN
          RANGO_DURACION      1                                                                                        1-5 Minutos    Activo           NaN
          RANGO_DURACION      2                                                                                       6-10 Minutos    Activo           NaN
          RANGO_DURACION      3                                                                                      11-20 Minutos    Activo           NaN
          RANGO_DURACION      4                                                                                      21-30 Minutos    Activo           NaN
          RANGO_DURACION      5                                                                                     30-45 Mninutos    Activo           NaN
          RANGO_DURACION      6                                                                                  Mas de 45 Minutos    Activo           NaN
